Canal,Estado Reserva,Fecha,Id Reserva,Pais,Regimen Pension,Segmento,Tipo Deposito,Tipo Hab Asignada,Tipo Hab Reservada,Adr,Adultos,Antelacion Reserva,Bebes,Cancelado,fACTURACION,Niños,Noches Finde,Noches Semana,Parking,Tasa de Cancelacion,Vuelve
Direct,Check-Out,06/02/2017,7504,AGO,BB,Direct,No Deposit,A,A,44.95,2,0,0,0,179.8,0,1,3,1,0,0
Direct,Check-Out,26/02/2016,1108,PRT,BB,Direct,No Deposit,A,A,46.5,2,0,0,0,186,0,1,3,1,0,0
Direct,Check-Out,15/07/2016,17168,PRT,BB,Direct,No Deposit,A,A,102.9,2,178,0,0,411.6,0,1,3,1,0,0
Direct,Check-Out,31/07/2017,17823,PRT,BB,Direct,No Deposit,A,A,152.38,2,195,0,0,609.52,0,1,3,1,0,0
Direct,Check-Out,15/05/2017,1841,DEU,BB,Direct,No Deposit,A,A,94,2,10,0,0,470,0,1,4,1,0,0
Direct,Check-Out,22/08/2016,9287,GBR,BB,Direct,No Deposit,A,A,203,2,56,0,0,1015,0,1,4,1,0,0
Direct,Check-Out,04/04/2016,14079,GBR,BB,Direct,No Deposit,A,A,53.94,2,156,0,0,269.7,0,1,4,1,0,0
Direct,Check-Out,05/08/2017,13808,PRT,BB,Direct,No Deposit,A,A,230,2,34,0,0,1150,0,1,4,1,0,0
Direct,Check-Out,01/09/2015,6692,PRT,BB,Direct,No Deposit,A,A,123,2,0,0,0,246,0,2,0,1,0,0
Direct,Check-Out,08/08/2017,1983,PRT,BB,Direct,No Deposit,A,A,219,2,9,0,0,438,0,2,0,1,0,0
Direct,Check-Out,30/08/2016,19241,PRT,BB,Direct,No Deposit,A,A,114,2,226,0,0,228,0,2,0,1,0,0
Direct,Check-Out,21/12/2016,3528,PRT,BB,Direct,No Deposit,A,A,50,2,0,0,0,150,0,2,1,1,0,0
Direct,Check-Out,02/03/2017,7554,ESP,BB,Direct,No Deposit,A,A,51.25,2,6,0,0,205,0,2,2,1,0,0
Direct,Check-Out,01/11/2016,16572,,BB,Direct,No Deposit,A,A,44,2,5,0,0,220,0,2,3,1,0,0
Direct,Check-Out,09/11/2016,15311,NLD,BB,Direct,No Deposit,A,A,43.8,2,164,0,0,219,0,2,3,1,0,0
Direct,Check-Out,02/09/2015,11955,PRT,BB,Direct,No Deposit,A,A,104.8,2,28,0,0,524,0,2,3,1,0,0
Direct,Check-Out,23/09/2016,1465,PRT,BB,Direct,No Deposit,A,A,86,2,41,0,0,430,0,2,3,1,0,0
Direct,Check-Out,23/08/2017,15816,PRT,BB,Direct,No Deposit,A,A,222.33,2,13,0,0,1333.98,0,2,4,1,0,0
Direct,Check-Out,02/09/2015,8735,PRT,BB,Direct,No Deposit,A,A,121.67,2,97,0,0,730.02,0,2,4,1,0,0
Direct,Check-Out,04/04/2016,5052,BEL,BB,Direct,No Deposit,A,A,66.84,2,129,0,0,467.88,0,2,5,1,0,0
Direct,Check-Out,26/09/2015,18727,ESP,BB,Direct,No Deposit,A,A,90.43,2,65,0,0,633.01,0,2,5,1,0,0
Direct,Check-Out,18/08/2017,12604,PRT,BB,Direct,No Deposit,A,A,239,2,105,0,0,1673,0,2,5,1,0,0
Direct,Check-Out,08/08/2016,15134,PRT,BB,Direct,No Deposit,A,A,221,2,111,0,0,1547,0,2,5,1,0,0
Direct,Check-Out,08/08/2017,7830,PRT,BB,Direct,No Deposit,A,A,160.08,2,191,0,0,1440.72,0,4,5,1,0,0
Direct,Check-Out,20/05/2016,19097,FRA,BB,Direct,No Deposit,B,A,89,2,0,0,0,89,0,0,1,1,0,0
Direct,Check-Out,25/04/2016,19041,FRA,BB,Direct,No Deposit,B,A,96.5,2,1,0,0,96.5,0,1,0,1,0,0
Direct,Check-Out,24/09/2015,12720,CHE,BB,Direct,No Deposit,C,A,98,2,0,0,0,98,0,0,1,1,0,0
Direct,Check-Out,12/05/2017,1833,ESP,BB,Direct,No Deposit,C,A,87,2,0,0,0,87,0,0,1,1,0,0
Direct,Check-Out,18/01/2017,1664,PRT,BB,Direct,No Deposit,C,A,44,2,2,0,0,44,0,0,1,1,0,0
Direct,Check-Out,07/09/2015,16693,ESP,BB,Direct,No Deposit,C,A,131,2,0,0,0,131,0,1,0,1,0,0
Direct,Check-Out,02/05/2016,3153,PRT,BB,Direct,No Deposit,C,A,91.67,2,3,0,0,275.01,0,1,2,1,0,0
Direct,Check-Out,31/10/2016,9422,PRT,BB,Direct,No Deposit,C,A,44,2,11,0,0,132,0,1,2,1,0,0
Direct,Check-Out,02/05/2017,11674,ESP,BB,Direct,No Deposit,C,A,97,2,3,0,0,291,0,2,1,1,0,0
Direct,Check-Out,25/11/2016,5440,PRT,BB,Direct,No Deposit,D,A,0,2,1,0,0,0,0,0,0,1,0,0
Direct,Check-Out,23/02/2017,7539,ESP,BB,Direct,No Deposit,D,A,68,2,0,0,0,68,0,0,1,1,0,0
Direct,Check-Out,01/01/2016,6850,PRT,BB,Direct,No Deposit,D,A,124,2,0,0,0,124,0,0,1,1,0,0
Direct,Check-Out,23/03/2016,3087,PRT,BB,Direct,No Deposit,D,A,58,2,0,0,0,58,0,0,1,1,0,0
Direct,Check-Out,01/12/2016,19419,PRT,BB,Direct,No Deposit,D,A,43,2,0,0,0,43,0,0,1,1,0,0
Direct,Check-Out,07/04/2016,4640,PRT,BB,Direct,No Deposit,D,A,56.4,2,2,0,0,56.4,0,0,1,1,0,0
Direct,Check-Out,11/02/2017,15487,PRT,BB,Direct,No Deposit,D,A,55,2,2,0,0,55,0,0,1,1,0,0
Direct,Check-Out,10/01/2016,4925,PRT,BB,Direct,No Deposit,D,A,54,2,5,0,0,54,0,0,1,1,0,0
Direct,Check-Out,14/12/2016,15382,PRT,BB,Direct,No Deposit,D,A,49,2,14,0,0,49,0,0,1,1,0,0
Direct,Check-Out,24/01/2016,2992,GBR,BB,Direct,No Deposit,D,A,54,2,41,0,0,108,0,0,2,1,0,0
Direct,Check-Out,13/02/2016,4962,PRT,BB,Direct,No Deposit,D,A,55,2,2,0,0,110,0,0,2,1,0,0
Direct,Check-Out,14/02/2016,1085,PRT,BB,Direct,No Deposit,D,A,59,2,24,0,0,118,0,0,2,1,0,0
Direct,Check-Out,25/10/2015,18766,PRT,BB,Direct,No Deposit,D,A,62,2,29,0,0,124,0,0,2,1,0,0
Direct,Check-Out,04/12/2016,19424,PRT,BB,Direct,No Deposit,D,A,49.74,2,29,0,0,99.48,0,0,2,1,0,0
Direct,Check-Out,21/11/2016,7396,BRA,BB,Direct,No Deposit,D,A,66,2,4,0,0,66,0,1,0,1,0,0
Direct,Check-Out,28/03/2016,12983,ESP,BB,Direct,No Deposit,D,A,54,2,1,0,0,54,0,1,0,1,0,0
Direct,Check-Out,21/06/2016,9180,PRT,BB,Direct,No Deposit,D,A,100,2,5,0,0,100,0,1,0,1,0,0
Direct,Check-Out,10/05/2016,9113,PRT,BB,Direct,No Deposit,D,A,71,2,46,0,0,71,0,1,0,1,0,0
Direct,Check-Out,04/11/2015,4838,PRT,BB,Direct,No Deposit,D,A,51,2,0,0,0,102,0,1,1,1,0,0
Direct,Check-Out,13/01/2016,18874,PRT,BB,Direct,No Deposit,D,A,49,2,0,0,0,98,0,1,1,1,0,0
Direct,Check-Out,24/02/2016,18930,PRT,BB,Direct,No Deposit,D,A,51,2,0,0,0,102,0,1,1,1,0,0
Direct,Check-Out,02/02/2016,8630,,BB,Direct,No Deposit,D,A,50,2,8,0,0,100,0,2,0,1,0,0
Direct,Check-Out,29/09/2015,5982,NLD,BB,Direct,No Deposit,D,A,77.73,2,108,0,0,544.11,0,2,5,1,0,0
Direct,Check-Out,01/07/2016,6577,,BB,Direct,No Deposit,E,A,79,2,1,0,0,79,0,0,1,1,0,0
Direct,Check-Out,17/01/2016,8914,PRT,BB,Direct,No Deposit,E,A,41,2,1,0,0,41,0,0,1,1,0,0
Direct,Check-Out,06/04/2016,9049,PRT,BB,Direct,No Deposit,E,A,53,2,3,0,0,53,0,0,1,1,0,0
Direct,Check-Out,15/10/2015,8791,PRT,BB,Direct,No Deposit,E,A,76.67,2,0,0,0,230.01,0,1,2,1,0,0
Direct,Check-Out,09/04/2016,2706,,BB,Direct,No Deposit,E,A,55.3,2,83,0,0,331.8,0,2,4,1,0,0
Direct,Check-Out,18/02/2016,12909,PRT,BB,Direct,No Deposit,F,A,75,2,0,0,0,75,0,0,1,1,0,0
Direct,Check-Out,31/12/2015,2964,PRT,BB,Direct,No Deposit,F,A,31,2,7,0,0,62,0,0,2,1,0,0
Direct,Check-Out,03/09/2017,7881,PRT,BB,Direct,No Deposit,F,A,174,2,2,0,0,522,0,0,3,1,0,0
Direct,Check-Out,20/05/2016,17088,PRT,BB,Direct,No Deposit,F,A,62,2,81,0,0,186,0,0,3,1,0,0
Direct,Check-Out,06/09/2015,851,FRA,BB,Direct,No Deposit,G,A,172,2,0,0,0,172,0,0,1,1,0,0
Direct,Check-Out,21/12/2016,5477,USA,BB,Direct,No Deposit,G,A,90,2,0,0,0,90,0,0,1,1,0,0
Direct,Check-Out,31/07/2017,19806,BEL,BB,Direct,No Deposit,H,A,214,2,18,0,0,642,0,1,2,1,0,0
Direct,Check-Out,17/09/2015,4041,ESP,BB,Direct,No Deposit,C,C,8,2,0,0,0,8,0,0,1,1,0,0
Direct,Check-Out,13/07/2017,7794,FRA,BB,Direct,No Deposit,C,C,154,2,0,0,0,154,0,0,1,1,0,0
Direct,Check-Out,28/08/2017,5879,CHE,BB,Direct,No Deposit,C,C,185,2,0,0,0,185,0,1,0,1,0,0
Direct,Check-Out,25/04/2016,9075,PRT,BB,Direct,No Deposit,C,C,116,2,0,0,0,116,0,1,0,1,0,0
Direct,Check-Out,18/09/2015,2102,PRT,BB,Direct,No Deposit,C,C,124,2,2,0,0,620,0,2,3,1,0,0
Direct,Check-Out,15/06/2016,3229,PRT,BB,Direct,No Deposit,C,C,104.06,2,107,0,0,1456.84,0,4,10,1,0,0
Direct,Check-Out,18/05/2016,2717,,BB,Direct,No Deposit,D,D,87,2,22,0,0,87,0,0,1,1,0,0
Direct,Check-Out,13/10/2016,17317,BEL,BB,Direct,No Deposit,D,D,68.5,2,230,0,0,68.5,0,0,1,1,0,0
Direct,Check-Out,05/05/2016,5100,BRA,BB,Direct,No Deposit,D,D,79,2,0,0,0,79,0,0,1,1,0,0
Direct,Check-Out,21/10/2015,4076,ESP,BB,Direct,No Deposit,D,D,56,2,0,0,0,56,0,0,1,1,0,0
Direct,Check-Out,05/12/2015,16804,ESP,BB,Direct,No Deposit,D,D,51,2,0,0,0,51,0,0,1,1,0,0
Direct,Check-Out,18/12/2015,4899,ESP,BB,Direct,No Deposit,D,D,46,2,0,0,0,46,0,0,1,1,0,0
Direct,Check-Out,28/07/2017,17814,ESP,BB,Direct,No Deposit,D,D,185,2,0,0,0,185,0,0,1,1,0,0
Direct,Check-Out,24/05/2017,15661,ESP,BB,Direct,No Deposit,D,D,97,2,1,0,0,97,0,0,1,1,0,0
Direct,Check-Out,07/02/2016,8947,ESP,BB,Direct,No Deposit,D,D,59,2,4,0,0,59,0,0,1,1,0,0
Direct,Check-Out,09/07/2017,17786,ESP,BB,Direct,No Deposit,D,D,170,2,4,0,0,170,0,0,1,1,0,0
Direct,Check-Out,17/08/2016,9275,FRA,BB,Direct,No Deposit,D,D,251,2,6,0,0,251,0,0,1,1,0,0
Direct,Check-Out,24/06/2017,13741,GBR,BB,Direct,No Deposit,D,D,150,2,0,0,0,150,0,0,1,1,0,0
Direct,Check-Out,08/07/2016,1327,GBR,BB,Direct,No Deposit,D,D,168.6,2,5,0,0,168.6,0,0,1,1,0,0
Direct,Check-Out,16/11/2016,1553,IRL,BB,Direct,No Deposit,D,D,79,2,0,0,0,79,0,0,1,1,0,0
Direct,Check-Out,26/08/2016,19239,ITA,BB,Direct,No Deposit,D,D,194,2,0,0,0,194,0,0,1,1,0,0
Direct,Check-Out,06/11/2016,13362,MAR,BB,Direct,No Deposit,D,D,84,2,0,0,0,84,0,0,1,1,0,0
Direct,Check-Out,24/10/2015,4080,PRT,BB,Direct,No Deposit,D,D,73,2,0,0,0,73,0,0,1,1,0,0
Direct,Check-Out,21/02/2016,14890,PRT,BB,Direct,No Deposit,D,D,51,2,0,0,0,51,0,0,1,1,0,0
Direct,Check-Out,02/12/2016,1589,PRT,BB,Direct,No Deposit,D,D,43,2,0,0,0,43,0,0,1,1,0,0
Direct,Check-Out,28/12/2016,9526,PRT,BB,Direct,No Deposit,D,D,81,2,0,0,0,81,0,0,1,1,0,0
Direct,Check-Out,13/08/2017,3911,PRT,BB,Direct,No Deposit,D,D,214,2,0,0,0,214,0,0,1,1,0,0
Direct,Check-Out,29/04/2016,7070,PRT,BB,Direct,No Deposit,D,D,86,2,1,0,0,86,0,0,1,1,0,0
Direct,Check-Out,10/09/2016,13270,PRT,BB,Direct,No Deposit,D,D,159.6,2,3,0,0,159.6,0,0,1,1,0,0
Direct,Check-Out,04/11/2015,2168,PRT,BB,Direct,No Deposit,D,D,48,2,7,0,0,48,0,0,1,1,0,0
Direct,Check-Out,10/04/2016,13005,PRT,BB,Direct,No Deposit,D,D,75,2,10,0,0,75,0,0,1,1,0,0
Direct,Check-Out,07/02/2016,6902,ESP,BB,Direct,No Deposit,D,D,60,2,2,0,0,120,0,0,2,1,0,0
Direct,Check-Out,07/05/2017,3745,ESP,BB,Direct,No Deposit,D,D,107,2,11,0,0,214,0,0,2,1,0,0
Direct,Check-Out,22/04/2016,13026,FRA,BB,Direct,No Deposit,D,D,79,2,4,0,0,158,0,0,2,1,0,0
Direct,Check-Out,18/05/2017,5728,FRA,BB,Direct,No Deposit,D,D,106,2,37,0,0,212,0,0,2,1,0,0
Direct,Check-Out,21/02/2016,1100,PRT,BB,Direct,No Deposit,D,D,61,2,1,0,0,122,0,0,2,1,0,0
Direct,Check-Out,29/01/2017,7497,PRT,BB,Direct,No Deposit,D,D,70,2,1,0,0,140,0,0,2,1,0,0
Direct,Check-Out,24/04/2016,13031,PRT,BB,Direct,No Deposit,D,D,91,2,2,0,0,182,0,0,2,1,0,0
Direct,Check-Out,13/09/2015,7968,PRT,BB,Direct,No Deposit,D,D,133,2,4,0,0,266,0,0,2,1,0,0
Direct,Check-Out,02/04/2017,3698,PRT,BB,Direct,No Deposit,D,D,94.5,2,8,0,0,189,0,0,2,1,0,0
Direct,Check-Out,11/06/2017,19740,PRT,BB,Direct,No Deposit,D,D,164,2,18,0,0,328,0,0,2,1,0,0
Direct,Check-Out,30/09/2016,9355,AUS,BB,Direct,No Deposit,D,D,133,2,3,0,0,399,0,0,3,1,0,0
Direct,Check-Out,13/08/2016,17212,PRT,BB,Direct,No Deposit,D,D,227.1,2,16,0,0,681.3,0,0,3,1,0,0
Direct,Check-Out,27/12/2015,12063,PRT,BB,Direct,No Deposit,D,D,51,2,59,0,0,153,0,0,3,1,0,0
Direct,Check-Out,10/04/2016,9054,PRT,BB,Direct,No Deposit,D,D,59.18,2,24,0,0,236.72,0,0,4,1,0,0
Direct,Check-Out,12/08/2017,5850,PRT,BB,Direct,No Deposit,D,D,209,2,167,0,0,836,0,0,4,1,0,0
Direct,Check-Out,03/04/2016,19004,PRT,BB,Direct,No Deposit,D,D,56.58,2,40,0,0,282.9,0,0,5,1,0,0
Direct,Check-Out,13/08/2017,17842,PRT,BB,Direct,No Deposit,D,D,211,2,176,0,0,1055,0,0,5,1,0,0
Direct,Check-Out,16/11/2015,14736,CHE,BB,Direct,No Deposit,D,D,59,2,0,0,0,59,0,1,0,1,0,0
Direct,Check-Out,17/10/2016,5358,FRA,BB,Direct,No Deposit,D,D,96,2,31,0,0,96,0,1,0,1,0,0
Direct,Check-Out,18/04/2017,13630,USA,BB,Direct,No Deposit,D,D,98,2,0,0,0,98,0,1,0,1,0,0
Direct,Check-Out,27/02/2017,11577,ESP,BB,Direct,No Deposit,D,D,69,2,32,0,0,138,0,1,1,1,0,0
Direct,Check-Out,18/07/2016,17178,PRT,BB,Direct,No Deposit,D,D,156,2,0,0,0,312,0,1,1,1,0,0
Direct,Check-Out,01/03/2017,15525,PRT,BB,Direct,No Deposit,D,D,62,2,0,0,0,124,0,1,1,1,0,0
Direct,Check-Out,17/07/2017,1941,ESP,BB,Direct,No Deposit,D,D,186.67,2,0,0,0,560.01,0,1,2,1,0,0
Direct,Check-Out,23/01/2017,19510,ESP,BB,Direct,No Deposit,D,D,55.6,2,5,0,0,166.8,0,1,2,1,0,0
Direct,Check-Out,26/09/2016,19282,IRL,BB,Direct,No Deposit,D,D,107.4,2,13,0,0,322.2,0,1,2,1,0,0
Direct,Check-Out,15/10/2015,12748,PRT,BB,Direct,No Deposit,D,D,72,2,0,0,0,216,0,1,2,1,0,0
Direct,Check-Out,26/10/2015,6016,PRT,BB,Direct,No Deposit,D,D,70,2,0,0,0,210,0,1,2,1,0,0
Direct,Check-Out,02/01/2017,17443,PRT,BB,Direct,No Deposit,D,D,172.67,2,95,0,0,518.01,0,1,2,1,0,0
Direct,Check-Out,22/07/2016,5216,PRT,BB,Direct,No Deposit,D,D,192,2,92,0,0,768,0,1,3,1,0,0
Direct,Check-Out,28/08/2017,17866,DEU,BB,Direct,No Deposit,D,D,251,2,30,0,0,1255,0,1,4,1,0,0
Direct,Check-Out,07/08/2017,3904,ESP,BB,Direct,No Deposit,D,D,251.6,2,11,0,0,1258,0,1,4,1,0,0
Direct,Check-Out,14/11/2016,17371,ESP,BB,Direct,No Deposit,D,D,52.8,2,152,0,0,264,0,1,4,1,0,0
Direct,Check-Out,07/06/2017,19734,FRA,BB,Direct,No Deposit,D,D,137,2,0,0,0,411,0,2,1,1,0,0
Direct,Check-Out,11/09/2015,2829,BRA,BB,Direct,No Deposit,D,D,113,2,48,0,0,565,0,2,3,1,0,0
Direct,Check-Out,23/11/2016,15345,PRT,BB,Direct,No Deposit,D,D,62,2,9,0,0,310,0,2,3,1,0,0
Direct,Check-Out,09/09/2015,855,PRT,BB,Direct,No Deposit,D,D,123,2,29,0,0,615,0,2,3,1,0,0
Direct,Check-Out,25/08/2015,10018,PRT,BB,Direct,No Deposit,D,D,176.8,2,40,0,0,884,0,2,3,1,0,0
Direct,Check-Out,05/08/2016,1378,PRT,BB,Direct,No Deposit,D,D,171.5,2,147,0,0,857.5,0,2,3,1,0,0
Direct,Check-Out,12/09/2015,6551,PRT,BB,Direct,No Deposit,D,D,129.5,2,32,0,0,777,0,2,4,1,0,0
Direct,Check-Out,05/09/2015,6700,PRT,BB,Direct,No Deposit,D,D,115,2,68,0,0,690,0,2,4,1,0,0
Direct,Check-Out,27/05/2016,14565,PRT,BB,Direct,No Deposit,D,D,70,2,95,0,0,420,0,2,4,1,0,0
Direct,Check-Out,20/07/2017,5811,PRT,BB,Direct,No Deposit,D,D,189,2,114,0,0,1134,0,2,4,1,0,0
Direct,Check-Out,09/06/2017,13715,IRL,BB,Direct,No Deposit,D,D,96.91,2,318,0,0,678.37,0,2,5,1,0,0
Direct,Check-Out,22/08/2015,13909,PRT,BB,Direct,No Deposit,D,D,200.71,2,26,0,0,1404.97,0,2,5,1,0,0
Direct,Check-Out,30/04/2016,9093,PRT,BB,Direct,No Deposit,D,D,64.5,2,44,0,0,451.5,0,2,5,1,0,0
Direct,Check-Out,22/07/2017,17802,PRT,BB,Direct,No Deposit,D,D,204,2,108,0,0,1428,0,2,5,1,0,0
Direct,Check-Out,23/08/2016,9290,PRT,BB,Direct,No Deposit,D,D,211,2,133,0,0,1477,0,2,5,1,0,0
Direct,Check-Out,09/07/2017,4651,PRT,BB,Direct,No Deposit,D,D,144,2,120,0,0,1152,0,2,6,1,0,0
Direct,Check-Out,12/09/2015,11966,PRT,BB,Direct,No Deposit,D,D,113,2,52,0,0,1017,0,2,7,1,0,0
Direct,Check-Out,11/07/2017,6587,PRT,BB,Direct,No Deposit,D,D,151.88,2,133,0,0,1215.04,0,3,5,1,0,0
Direct,Check-Out,31/08/2016,1413,ITA,BB,Direct,No Deposit,D,D,191.32,2,68,0,0,1721.88,0,3,6,1,0,0
Direct,Check-Out,25/02/2017,1725,PRT,BB,Direct,No Deposit,E,D,68.2,2,6,0,0,68.2,0,0,1,1,0,0
Direct,Check-Out,27/10/2016,5377,SWE,BB,Direct,No Deposit,E,D,75,2,22,0,0,150,0,0,2,1,0,0
Direct,Check-Out,06/09/2016,3352,ESP,BB,Direct,No Deposit,E,D,166,2,0,0,0,166,0,1,0,1,0,0
Direct,Check-Out,22/09/2016,9346,PRT,BB,Direct,No Deposit,E,D,115.2,2,9,0,0,345.6,0,1,2,1,0,0
Direct,Check-Out,17/09/2016,16577,PRT,BB,Direct,No Deposit,E,D,130,2,58,0,0,910,0,2,5,1,0,0
Direct,Check-Out,15/06/2016,19139,PRT,BB,Direct,No Deposit,E,D,90.08,2,107,0,0,1261.12,0,4,10,1,0,0
Direct,Check-Out,23/12/2015,2956,PRT,BB,Direct,No Deposit,F,D,46,2,1,0,0,46,0,0,1,1,0,0
Direct,Check-Out,18/01/2017,5529,ESP,BB,Direct,No Deposit,I,D,65,2,3,0,0,65,0,0,1,1,0,0
Direct,Check-Out,12/07/2017,19783,PRT,BB,Direct,No Deposit,E,E,0,2,182,0,0,0,0,0,0,1,0,0
Direct,Check-Out,22/01/2017,14550,,BB,Direct,No Deposit,E,E,65,2,1,0,0,65,0,0,1,1,0,0
Direct,Check-Out,09/10/2016,9370,AGO,BB,Direct,No Deposit,E,E,96,2,0,0,0,96,0,0,1,1,0,0
Direct,Check-Out,02/04/2017,1776,AGO,BB,Direct,No Deposit,E,E,110,2,0,0,0,110,0,0,1,1,0,0
Direct,Check-Out,14/10/2016,3421,CN,BB,Direct,No Deposit,E,E,96,2,0,0,0,96,0,0,1,1,0,0
Direct,Check-Out,25/03/2016,5037,ESP,BB,Direct,No Deposit,E,E,121,2,0,0,0,121,0,0,1,1,0,0
Direct,Check-Out,30/04/2017,15629,ESP,BB,Direct,No Deposit,E,E,131,2,9,0,0,131,0,0,1,1,0,0
Direct,Check-Out,06/12/2015,6815,GBR,BB,Direct,No Deposit,E,E,68,2,0,0,0,68,0,0,1,1,0,0
Direct,Check-Out,28/10/2015,18004,NLD,BB,Direct,No Deposit,E,E,66,2,0,0,0,66,0,0,1,1,0,0
Direct,Check-Out,01/10/2016,11346,PRT,BB,Direct,No Deposit,E,E,131,2,0,0,0,131,0,0,1,1,0,0
Direct,Check-Out,22/01/2017,5541,PRT,BB,Direct,No Deposit,E,E,67,2,0,0,0,67,0,0,1,1,0,0
Direct,Check-Out,12/02/2017,5572,PRT,BB,Direct,No Deposit,E,E,75,2,0,0,0,75,0,0,1,1,0,0
Direct,Check-Out,01/07/2017,17777,PRT,BB,Direct,No Deposit,E,E,167,2,0,0,0,167,0,0,1,1,0,0
Direct,Check-Out,02/12/2015,2923,PRT,BB,Direct,No Deposit,E,E,58,2,1,0,0,58,0,0,1,1,0,0
Direct,Check-Out,02/04/2016,11085,PRT,BB,Direct,No Deposit,E,E,101,2,2,0,0,101,0,0,1,1,0,0
Direct,Check-Out,22/01/2017,19507,PRT,BB,Direct,No Deposit,E,E,65,2,2,0,0,65,0,0,1,1,0,0
Direct,Check-Out,18/09/2016,3374,PRT,BB,Direct,No Deposit,E,E,175,2,4,0,0,175,0,0,1,1,0,0
Direct,Check-Out,23/12/2016,19450,PRT,BB,Direct,No Deposit,E,E,65,2,8,0,0,65,0,0,1,1,0,0
Direct,Check-Out,23/06/2016,1307,USA,BB,Direct,No Deposit,E,E,139,2,0,0,0,139,0,0,1,1,0,0
Direct,Check-Out,04/12/2016,13405,BEL,BB,Direct,No Deposit,E,E,58,2,0,0,0,116,0,0,2,1,0,0
Direct,Check-Out,17/01/2016,10956,ESP,BB,Direct,No Deposit,E,E,67,2,0,0,0,134,0,0,2,1,0,0
Direct,Check-Out,28/01/2017,11532,ESP,BB,Direct,No Deposit,E,E,72,2,0,0,0,144,0,0,2,1,0,0
Direct,Check-Out,14/07/2016,3265,PRT,BB,Direct,No Deposit,E,E,171,2,2,0,0,342,0,0,2,1,0,0
Direct,Check-Out,16/06/2017,13724,PRT,BB,Direct,No Deposit,E,E,179,2,6,0,0,358,0,0,2,1,0,0
Direct,Check-Out,14/02/2016,1086,PRT,BB,Direct,No Deposit,E,E,64,2,7,0,0,128,0,0,2,1,0,0
Direct,Check-Out,27/12/2015,8890,GBR,BB,Direct,No Deposit,E,E,91,2,29,0,0,273,0,0,3,1,0,0
Direct,Check-Out,25/09/2015,16724,PRT,BB,Direct,No Deposit,E,E,129,2,1,0,0,387,0,0,3,1,0,0
Direct,Check-Out,07/02/2016,1075,PRT,BB,Direct,No Deposit,E,E,64,2,1,0,0,192,0,0,3,1,0,0
Direct,Check-Out,02/01/2016,12845,PRT,BB,Direct,No Deposit,E,E,198.33,2,13,0,0,594.99,0,0,3,1,0,0
Direct,Check-Out,02/01/2016,6852,PRT,BB,Direct,No Deposit,E,E,169.48,2,70,0,0,508.44,0,0,3,1,0,0
Direct,Check-Out,01/04/2017,13591,PRT,BB,Direct,No Deposit,E,E,72.5,2,71,0,0,217.5,0,0,3,1,0,0
Direct,Check-Out,03/01/2016,198,PRT,BB,Direct,No Deposit,E,E,169.48,2,79,0,0,508.44,0,0,3,1,0,0
Direct,Check-Out,21/05/2017,7701,PRT,BB,Direct,No Deposit,E,E,125.5,2,13,0,0,502,0,0,4,1,0,0
Direct,Check-Out,03/01/2016,14541,PRT,BB,Direct,No Deposit,E,E,136,2,69,0,0,544,0,0,4,1,0,0
Direct,Check-Out,20/09/2015,14679,PRT,BB,Direct,No Deposit,E,E,112.6,2,120,0,0,563,0,0,5,1,0,0
Direct,Check-Out,30/05/2017,11727,ITA,BB,Direct,No Deposit,E,E,115,2,0,0,0,115,0,1,0,1,0,0
Direct,Check-Out,06/09/2016,19252,PRT,BB,Direct,No Deposit,E,E,181,2,1,0,0,181,0,1,0,1,0,0
Direct,Check-Out,07/02/2017,3604,PRT,BB,Direct,No Deposit,E,E,87,2,1,0,0,87,0,1,0,1,0,0
Direct,Check-Out,28/12/2015,18850,USA,BB,Direct,No Deposit,E,E,71,2,0,0,0,71,0,1,0,1,0,0
Direct,Check-Out,20/06/2016,19147,CN,BB,Direct,No Deposit,E,E,173,2,0,0,0,346,0,1,1,1,0,0
Direct,Check-Out,09/01/2017,8613,PRT,BB,Direct,No Deposit,E,E,64,2,0,0,0,128,0,1,1,1,0,0
Direct,Check-Out,25/04/2016,14985,PRT,BB,Direct,No Deposit,E,E,97,2,35,0,0,194,0,1,1,1,0,0
Direct,Check-Out,25/04/2016,7058,PRT,BB,Direct,No Deposit,E,E,78,2,42,0,0,156,0,1,1,1,0,0
Direct,Check-Out,17/04/2017,6553,PRT,BB,Direct,No Deposit,E,E,90,2,89,0,0,180,0,1,1,1,0,0
Direct,Check-Out,28/03/2016,713,,BB,Direct,No Deposit,E,E,93.67,2,52,0,0,281.01,0,1,2,1,0,0
Direct,Check-Out,21/04/2016,7048,ARG,BB,Direct,No Deposit,E,E,77,2,0,0,0,231,0,1,2,1,0,0
Direct,Check-Out,28/04/2016,9077,FRA,BB,Direct,No Deposit,E,E,87,2,2,0,0,261,0,1,2,1,0,0
Direct,Check-Out,31/07/2017,5826,LUX,BB,Direct,No Deposit,E,E,207.5,2,143,0,0,622.5,0,1,2,1,0,0
Direct,Check-Out,05/06/2017,1874,FRA,BB,Direct,No Deposit,E,E,139.5,2,105,0,0,558,0,1,3,1,0,0
Direct,Check-Out,05/09/2016,7266,PRT,BB,Direct,No Deposit,E,E,197,2,14,0,0,985,0,1,4,1,0,0
Direct,Check-Out,25/07/2017,3888,BEL,BB,Direct,No Deposit,E,E,167.52,2,192,0,0,335.04,0,2,0,1,0,0
